Chevy Woods,*PLKGlqWrLkn_84j7f0jrLoEMp31Jd2hpXm,rap,,undefined,,chevywoods,,
Kanye West,*PLXu_cA-xfxWuJ03QYsdijfMVDRWVv0htk,rap,,"YNW Melly ft. Kanye West - Mixed Personalities (Dir. by @_ColeBennett_),iFv6BXjnKRU",,kanyewest,,
Wiz Khalifa,*PL_bQ3bfYo9ZUyfRE8w95ZmOD7A0P25-SN,rap,,"Wiz Khalifa - Hopeless Romantic feat. Swae Lee [Official Music Video],9VH0fUABBjY;Wiz Khalifa Feat.Two-9 & Ty Dolla $ign - Full House (Official Video),V7m8oZeY-7k;Tekno - One Africa ft. Wiz Khalifa (Official Video),l_kl1upc3bs;Sizzla - Seize The Violence,nhT3CMupgzI;Wiz Khalifa - Fr Fr ft. Lil Skies (Dir. by @_ColeBennett_),d_rongCrYOE;Wiz Khalifa - Universal Studios (Official Video),YuV-Rg7wpbE;Wiz Khalifa - Sleep Feat. 6LACK,zk5fR9dohc0;Wiz Khalifa - Real Rich feat. Gucci Mane [Official Music Video],9nV9GNjXFDo;Joe Moses - Bag ft. Wiz Khalifa [Music Video],PDVVYw1kOr4;Wiz Khalifa - Hopeless Romantic feat. Swae Lee [Official Audio],Sf5CmbLtiew;Wiz Khalifa - What's the Play (Audio),urIn0X0s7R8;Wiz Khalifa - Rolling Papers 2 [Official Music Video],45ezpveOTT8;Dimitri Vegas & Like Mike ft. Wiz Khalifa - When I Grow Up (Official Music Video),a8Foq32Qr90;Wiz Khalifa ft. Smokepurpp - Captain Remix [Official Lyrics],jDmYkbEJGuI;Wiz Khalifa - James Bong [Official Lyrics],ya1xPotKrSM;Ricky P Ft. Wiz Khalifa - Life is a Dream,sZ_MI9Risz4;Wiz Khalifa - We Dem Boyz [Official Video],UX6K7waag5Q;Ty Dolla $ign - Drugs ft. Wiz Khalifa [Official Audio],223-2Jd5P6E;Wiz Khalifa - Something New feat. Ty Dolla $ign [Official Music Video],qxGapEwtq6g;Wiz Khalifa - Garage Talk (Official Video),34RhYeE42RE;Snapchat - Young Deji ft. Wiz Khalifa [Official Video],Lb0UaI51wRU;Baby Goth - Sugar ft. Wiz Khalifa,p98jHW14xt8;THEY. ft. Wiz Khalifa - What I Know Now,F8ccSMKnljA;Wiz Khalifa - See You Again ft. Charlie Puth (8D Audio 🎧),CEGscfSVJXc;Wiz Khalifa - Taylor [Official Video],fCHkzllTW0c;Wiz Khalifa - Hunnid Bands (official video) Prod. By Tay Keith,ziLFJzcSzQc;Juicy J feat. Wiz Khalifa - Smoke A Nigga,nBApNtVeLfs",,wizkhalifa,,
drake,*PL4TrGu5rwzH8GrqIfT69XBI7ytPiPSu-f,rap,,"Drake - In My Feelings,DRS_PpOrUZ4;Meek Mill - Going Bad feat. Drake [Official Audio],T3lKEb0Cs94;Wizkid - No Stress ft. Drake (Official Video),Pz7EFCKimJs;WizKid - Come Closer ft. Drake,vqW18C4plZ8;Bad Bunny feat. Drake - Mia ( Video Oficial ),OSUxrSe5GbI;MC Lozin e MC Guguinha - Patrão Gigante (GR6 Filmes),vMeNudGNQqc;Travis Scott - SICKO MODE ft. Drake,6ONRf7h3Mdk;French Montana - No Stylist ft. Drake,9_k_goMr5ZI;Drake - Talk Up / Lando McHaney Remix (Official Video),gpYzRjQiL7Y;Drake - Scorpion | #TheListeningParty (Ep.3) | Link Up TV,qel92dXuPNo;Drake - Nonstop,lJTRVX9R5EA;Drake - Duppy Freestyle,Qr_QLv1TPcY;Migos - Walk It Talk It ft. Drake,fGqdIPer-ms;Lil Wayne - Family Feud feat. Drake (Official Audio) | Dedication 6 D6 Reloaded,PjqKPHZJgF0;WizKid - Come Closer ft. Drake (Official Video),vqW18C4plZ8;WizKid - Hustle ft. Drake (Official Video),nmy_jfydyxY;Waka Flocka Flame - Round Of Applause feat. Drake (Official HD Video),j5Z3KUOrhS0;Meek Mill - Going Bad feat. Drake (Official Video),S1gp0m4B5p8;French Montana - No Stylist ft. Drake (Official Music Video),9_k_goMr5ZI;Lil Baby ft Drake - Yes Indeed Reggae Wysh,72IVrv80FRc;Drake - Nice For What,U9BwWKXjVaI;Drake - Your Mind ft. Nicki Minaj Cardi B (Official Video),ykXwNmnU6-c;Drake - Closure ft. Lil Baby Ozuna  Stefflon Don  WizKid  Doubledutch,d0JQ2R7zK_s;Travis Scott - SICKO MODE ft. Drake (Official Video),6ONRf7h3Mdk;Drake - Duppy Freestyle (Official Audio),Qr_QLv1TPcY;Swae Lee - Won't Be Late ft. Drake (Lyric Video),iBioIsLoXoE;Rick Ross - Gold Roses ft. Drake,x_UgzesG5Dc;Drake - Closure ft. Lil Baby Ozuna, Stefflon Don, WizKid, Doubledutch,d0JQ2R7zK_s;PARTYNEXTDOOR - Loyal ft. Drake,E68OG9s1IbM;PARTYNEXTDOOR - Loyal feat. Drake [Official Audio],FL7icWyial0;Drake - War,lIlMtVGI5Pg",,drake,,
Eminem,*PLC0w3lEHx2SF3NsbnqnLbWBWyF_3g0cjZ,rap,,"Eminem - The Real Slim Shady (ZIGGY Moombahton Remix),qfOUqQKP08A;Eminem - Lucky You ft. Joyner Lucas,mvSItvjFE1c;Eminem - Fall,MfTbHITdhEI;Eminem - Venom,8CdcCD5V-d8;EMINEM -Change The World (Official video) 2018,JmrRFAwhR3o;EMINEM- God Bless the Dead (2018),SD5IzGgn1yM;EMINEM- A Fine Day (ft. 50 CENT) 2018,mqNlbkgDii4;Eminem - River ft. Ed Sheeran,wfWIs2gFTAM;EMINEM -Fly Away (Official Video),IsJa3z8mdYY;Boogie - Rainy Days ft. Eminem [Audio],ebkd9vweQwU;Eminem - Walk On Water (Audio) ft. Beyoncé,n1WpP7iowLc;Eminem - Ric Flair Drip [ft. Tyga 50 Cent] 2019,ppTwrr5QvD4;Eminem - Pure Water [ft. Migos Mustard] 2019,CWrxzrVXLkA;Childish Major - Naan (Official Audio) Prod. Groove,6atPeJ0tON0;Low Steppa feat. Ayak – No Love,P4Mu9iA0_fE;Eminem - No Way [ft. Lil Wayne] 2019,yWqaYt6TExo;Eminem - Venom (Official Music Video),8CdcCD5V-d8;EMINEM -Change The World 2018,JmrRFAwhR3o;Eminem - River ft. Ed Sheeran (Official Video),wfWIs2gFTAM;Eminem - Don't Tell 'Em [ft. 50 Cent Jeremih] 2019,TmZP2LFlKCg;Eminem - So Cold 2019,xg3ZG0j61yM;Logic - Homicide ft. Eminem,eQkSArQxYJg;Boogie ft. Eminem - Rainy Days (Official Video),2dUMedOr864;Eminem - Paradise [ft. Post Malone] 2019,-ENDgoiJeHo;Canceled: Invitation feat. Eminem (Official Audio),o_WSqMCwjtY;Eminem - Cannon for Nick (NICK CANNON DISS RESPONSE),2d8Ti8uaCng",,eminem,,
Wiz Khalifa - (mixtape),*PLClmWKrXQ6xqqhh3ZqY4v1gS5hR406UMq,rap,,"Wiz Khalifa - Hopeless Romantic feat. Swae Lee [Official Music Video],9VH0fUABBjY;Wiz Khalifa Feat.Two-9 & Ty Dolla $ign - Full House (Official Video),V7m8oZeY-7k;Tekno - One Africa ft. Wiz Khalifa (Official Video),l_kl1upc3bs;Sizzla - Seize The Violence,nhT3CMupgzI;Wiz Khalifa - Fr Fr ft. Lil Skies (Dir. by @_ColeBennett_),d_rongCrYOE;Wiz Khalifa - Universal Studios (Official Video),YuV-Rg7wpbE;Wiz Khalifa - Sleep Feat. 6LACK,zk5fR9dohc0;Wiz Khalifa - Real Rich feat. Gucci Mane [Official Music Video],9nV9GNjXFDo;Joe Moses - Bag ft. Wiz Khalifa [Music Video],PDVVYw1kOr4;Wiz Khalifa - Hopeless Romantic feat. Swae Lee [Official Audio],Sf5CmbLtiew;Wiz Khalifa - What's the Play (Audio),urIn0X0s7R8;Wiz Khalifa - Rolling Papers 2 [Official Music Video],45ezpveOTT8;Dimitri Vegas & Like Mike ft. Wiz Khalifa - When I Grow Up (Official Music Video),a8Foq32Qr90;Wiz Khalifa ft. Smokepurpp - Captain Remix [Official Lyrics],jDmYkbEJGuI;Wiz Khalifa - James Bong [Official Lyrics],ya1xPotKrSM;Ricky P Ft. Wiz Khalifa - Life is a Dream,sZ_MI9Risz4;Wiz Khalifa - We Dem Boyz [Official Video],UX6K7waag5Q;Ty Dolla $ign - Drugs ft. Wiz Khalifa [Official Audio],223-2Jd5P6E;Wiz Khalifa - Something New feat. Ty Dolla $ign [Official Music Video],qxGapEwtq6g;Wiz Khalifa - Garage Talk (Official Video),34RhYeE42RE;Snapchat - Young Deji ft. Wiz Khalifa [Official Video],Lb0UaI51wRU;Baby Goth - Sugar ft. Wiz Khalifa,p98jHW14xt8;THEY. ft. Wiz Khalifa - What I Know Now,F8ccSMKnljA;Wiz Khalifa - See You Again ft. Charlie Puth (8D Audio 🎧),CEGscfSVJXc;Wiz Khalifa - Taylor [Official Video],fCHkzllTW0c;Wiz Khalifa - Hunnid Bands (official video) Prod. By Tay Keith,ziLFJzcSzQc;Juicy J feat. Wiz Khalifa - Smoke A Nigga,nBApNtVeLfs",,wizkhalifa,,
Ty Dolla Sign,*PLQDtEy7VBpb7qywQGBHwUI1Y-Epq5nkp_,rap,,undefined,,tydollasign,,
Ty Dolla Sign - (mixtape),*PLClmWKrXQ6xp9tui1kqfi1swhvhd0cgeS,rap,,undefined,,tydollasign,,
Wiz Khalifa,*PL_bQ3bfYo9ZUyfRE8w95ZmOD7A0P25-SN,rap,,"Wiz Khalifa - Hopeless Romantic feat. Swae Lee [Official Music Video],9VH0fUABBjY;Wiz Khalifa Feat.Two-9 & Ty Dolla $ign - Full House (Official Video),V7m8oZeY-7k;Tekno - One Africa ft. Wiz Khalifa (Official Video),l_kl1upc3bs;Sizzla - Seize The Violence,nhT3CMupgzI;Wiz Khalifa - Fr Fr ft. Lil Skies (Dir. by @_ColeBennett_),d_rongCrYOE;Wiz Khalifa - Universal Studios (Official Video),YuV-Rg7wpbE;Wiz Khalifa - Sleep Feat. 6LACK,zk5fR9dohc0;Wiz Khalifa - Real Rich feat. Gucci Mane [Official Music Video],9nV9GNjXFDo;Joe Moses - Bag ft. Wiz Khalifa [Music Video],PDVVYw1kOr4;Wiz Khalifa - Hopeless Romantic feat. Swae Lee [Official Audio],Sf5CmbLtiew;Wiz Khalifa - What's the Play (Audio),urIn0X0s7R8;Wiz Khalifa - Rolling Papers 2 [Official Music Video],45ezpveOTT8;Dimitri Vegas & Like Mike ft. Wiz Khalifa - When I Grow Up (Official Music Video),a8Foq32Qr90;Wiz Khalifa ft. Smokepurpp - Captain Remix [Official Lyrics],jDmYkbEJGuI;Wiz Khalifa - James Bong [Official Lyrics],ya1xPotKrSM;Ricky P Ft. Wiz Khalifa - Life is a Dream,sZ_MI9Risz4;Wiz Khalifa - We Dem Boyz [Official Video],UX6K7waag5Q;Ty Dolla $ign - Drugs ft. Wiz Khalifa [Official Audio],223-2Jd5P6E;Wiz Khalifa - Something New feat. Ty Dolla $ign [Official Music Video],qxGapEwtq6g;Wiz Khalifa - Garage Talk (Official Video),34RhYeE42RE;Snapchat - Young Deji ft. Wiz Khalifa [Official Video],Lb0UaI51wRU;Baby Goth - Sugar ft. Wiz Khalifa,p98jHW14xt8;THEY. ft. Wiz Khalifa - What I Know Now,F8ccSMKnljA;Wiz Khalifa - See You Again ft. Charlie Puth (8D Audio 🎧),CEGscfSVJXc;Wiz Khalifa - Taylor [Official Video],fCHkzllTW0c;Wiz Khalifa - Hunnid Bands (official video) Prod. By Tay Keith,ziLFJzcSzQc;Juicy J feat. Wiz Khalifa - Smoke A Nigga,nBApNtVeLfs",,wizkhalifa,,
Tyga,*PLeRTJl0ikTyskHcpdeJ5QZL7N9t8eTYoY,rap,,"Tyga - Dip (Official Video) ft. Nicki Minaj,YyWru2XOiK0;Tyga - SWISH (Official Music Video),ScdQQfAjFTk;Tyga - Taste (Official Music Video) ft. Offset,LjxulQ1bEWg;Iggy Azalea (feat. Tyga) - Kream | Traducida al español & Lyrics,mZHqaxWT2s4;Iggy Azalea - Kream ft. Tyga (Official Music Video),t7lM7Bn16Zg;Tyga Ft. Offset - Taste,NcxQ0SWAUGI;Digital Sham Ft. Tyga - Taste (Remix) June 2018,QRXOQZ8-v9w;Chris Brown - Straight Up ft. Tyga (Music Video),GRm81IZm1AQ;Tyga - Temperature (Official Video),cgr_RN-1kcc;Tyga - Girls Have Fun (Official Video) ft. Rich The Kid G-Eazy,Y-fqWMaXb8A;Tyga - Goddamn (Official Video),6OLNQiYbGLQ;Tyga - Gabbana ft. Akon Wizkid,5rvlSHRt6dY;Tyga - Lightskin Lil Wayne (Official Video),5ju4JoN3ZKc;Tyga - Ayy Macarena (Official Video),obUHDyWFMi8",,tyga,,
